Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Tunisia,TUN,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01999998092651,,,9.97999954223633,,,,,,,,20.9699993133545,25.4899997711182,26.3600006103516,28.9200000762939,30.8299999237061,32.3699989318848,41.8199996948242,39.0999984741211,42,,37.3600006103516,38.3699989318848,39.0999984741211,,,
Tunisia,TUN,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,,,,,,,44.939998626709,,,,,,,,,51.75,,,,,49.0200004577637,,,,50.7700004577637,,,,,48.0900001525879,,,,,48.4099998474121,,,48.6300010681152,,,,,,33.2000007629395,,45.5,45.6399993896484,45.8600006103516,46.1699981689453,46.5099983215332,46.8899993896484,47.189998626709,47.7799987792969,47.4199981689453,,47.0699996948242,47.1699981689453,46.9799995422363,,,
Tunisia,TUN,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3600006103516,43.060001373291,42.4300003051758,42.2200012207031,41.9099998474121,40.8499984741211,39.810001373291,38.7999992370605,37.810001373291,36.8499984741211,35.9099998474121,34.9799995422363,34.0999984741211,33.2999992370605,32.5800018310547,31.9300003051758,30.6900005340576,31.0400009155273,30.7399997711182,29.6499996185303,31.2700004577637,31.8600006103516,35.1800003051758,32.7999992370605,30.8199996948242,28.9599990844727,29.0100002288818,28.9500007629395,28.7900009155273,28.6800003051758,
Tunisia,TUN,"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,
Tunisia,TUN,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5900001525879,29.5800008773804,29.4200010299683,29.4200010299683,29.2200002670288,29.210000038147,28.6899995803833,28.3499994277954,28.039999961853,27.5199995040893,27.1600008010864,26.6899995803833,26.4699993133545,26.2300004959106,25.8600006103516,27.1700000762939,22.3599996566773,19.579999923706,18.4899997711182,23.4499998092651,18.0600004196167,17.1799998283387,15.5099997520447,14.2699999809265,13.1400003433228,12.5200002193451,12.0699996948242,11.7499995231628,11.4700000286102,
Tunisia,TUN,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3800010681152,36.7099990844727,36.3800010681152,36.2000007629395,35.1199989318848,34.1599998474121,33.1500015258789,32.7400016784668,32.2900009155273,31.7199993133545,31.4400005340576,30.5799999237061,30.0200004577637,29.7000007629395,30.3199996948242,29.5200004577637,29.3299999237061,28.7700004577637,27.2299995422363,30.1299991607666,25.0599994659424,29.7700004577637,29.1000003814697,27.6700000762939,25.8600006103516,25.7000007629395,25.6299991607666,25.2999992370605,25.3899993896484,
Tunisia,TUN,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,,,,,25,,,,,25.8,,,,,19.3,,,,,14.1,,,,,9.3,,,,,4.2,,,,,
Tunisia,TUN,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,5.9,,,,,5.7,,,,,6,,,,,6.4,,,,,6.7,,,,,7.8,,,,,
Tunisia,TUN,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.54292107,10.57568169,10.98641014,11.40784454,11.54679108,11.35010338,11.73456955,11.84733677,11.84145832,12.0754261,13.03182125,12.38613319,12.63853168,12.49519444,13.28426266,13.69663811,13.72302341,13.6278019,13.63299656,,
